INDEX,STREET NAME,STREET TYPE,STREET SUFFIX,SUBURB,SUBURB LIST
8298,KAKAWAN,Street,,BOONDALL,"B, BOONDALL"
8299,KAKIRRA,Place,,EIGHT MILE PLAINS,"E, EIGHT MILE PLAINS"
8300,KAKOOGUN,Street,,KOORINGAL,"K, KOORINGAL"
8301,KALANDA,Street,,RUNCORN,"R, RUNCORN"
8302,KALANG,Street,,ARCHERFIELD,"A, ARCHERFIELD"
8303,KALARA,Court,,CARSELDINE,"C, CARSELDINE"
8304,KALBARRI,Street,,PARKINSON,"P, PARKINSON"
8305,KALBARRI,Street,,RIVERHILLS,"R, RIVERHILLS"
8306,KALEENA,Street,,MIDDLE PARK,"M, MIDDLE PARK"
8307,KALIMNA,Street,,THE GAP,"T, THE GAP"
8308,KALINA,Place,,KARANA DOWNS,"K, KARANA DOWNS"
8309,KALINGA,Avenue,,SPRING HILL,"S, SPRING HILL"
8310,KALINGA,Street,,CLAYFIELD,"C, CLAYFIELD"
8311,KALINGA,Street,,KALINGA,"K, KALINGA"
8312,KALKADOON,Street,,EIGHT MILE PLAINS,"E, EIGHT MILE PLAINS"
8313,KALMA,Street,,RUNCORN,"R, RUNCORN"
8314,KALOMA,Road,,THE GAP,"T, THE GAP"
8315,KAMALA,Drive,,PULLENVALE,"P, PULLENVALE"
8316,KAMALA,Place,,ALGESTER,"A, ALGESTER"
8317,KAMARIN,Street,,MANLY WEST,"M, MANLY WEST"
8318,KAMBALA,Street,,EVERTON PARK,"E, EVERTON PARK"
8319,KAMBER,Street,,BARDON,"B, BARDON"
8320,KAMERUKA,Street,,BRIDGEMAN DOWNS,"B, BRIDGEMAN DOWNS"
8321,KAMERUKA,Street,,CALAMVALE,"C, CALAMVALE"
8322,KAMERUKA,Street,,STRETTON,"S, STRETTON"
8323,KANANGRA,Close,,KARANA DOWNS,"K, KARANA DOWNS"
8324,KANANGRA,Place,,PARKINSON,"P, PARKINSON"
8325,KANANGRA,Street,,STAFFORD,"S, STAFFORD"
